Station Name,Latitude,Longitude,Number of Bikes,Station ID
Galileo Galilei Way at Main Street,42.363003781560096,-71.08974037706501,19,8a7bf83248ef53141b24b11439b8201b
Thorndike Field at Minuteman Bikeway,42.40016804853787,-71.14456963094199,11,0f7d14271f73ee0fa0e295a9f574393f
Kearins Playground,42.406161241322444,-71.06041654944418,11,ba7c8d6bbc4dec7028026a5000ebf873
MIT Carleton St at Amherst St,42.36054174140606,-71.08669817447662,27,94fbf085f14ca2fb047c5f73d82fd0d7
Revere City Hall,42.40741,-71.0139,11,5059089c60fe9e54355a3e89876677cb
Revere Public Library,42.408088,-71.008942,11,e7418148fff61062d4b1431e18252fbe
Community Path at Lowell St,42.392525,-71.105587,19,c8fe4ef59cd994f19ede2e2974ccd4e9
Day Sq,42.379295,-71.027733,16,9c3d4178bddc92bce003eb65ff1ea831
Martha Eliot Health Center,42.324173,-71.10196,16,58f73aafa0e24c6eb499c1b8b55cf314
Blue Hill Ave at Havelock St,42.286012,-71.090986,18,166efdbfa3e9bae504312ec2c1c807d9
Harrison Ave at E. Dedham St,42.339194,-71.06975,19,88208143860cdc5657415f8da7548f0d
Harvard Stadium: N. Harvard St at Soldiers Field Rd,42.368019,-71.1242,15,932bb6179f18fc56aed1472da78a29a8
2 Hummingbird Lane at Olmsted Green,42.28887,-71.095003,17,2dd157a9b7db5cf0e7a17edae0e05b85
Innovation Lab - 125 Western Ave at Batten Way,42.36371276003581,-71.12459778785706,19,87706c66ea0565951625cfe6d551e0cb
160 Arsenal,42.36466403441681,-71.17569386959076,11,da929830a97362be824a07bf28524ed6
Cary Square,42.398135645582464,-71.030709722545,12,8e4b15c66b8e310e1642cddf6c071763
Chelsea Square,42.390226711033826,-71.03857017704286,11,c50df137b15bd3cb066f2914c25e20f4
Broadway at Gerrish Ave,42.39453079292221,-71.03085594484583,11,04a62029c1f7ba571570d4daa01be051
